init,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
random,250,3,3,2,-478.09721225130306,"[[0.79442808 0.63282903 0.67969761]
 [0.86204612 0.65266189 0.72098531]
 [0.65116324 0.79660246 0.71967696]]","[[1 2 2]
 [2 2 2]
 [2 2 2]]",[0.40039237 0.24317906 0.35642856],0.017452001571655273,0.03905084855095769,0.16666666666666666,0.10116075369235512
kmeans,250,3,3,2,-476.499172623057,"[[0.75919097 0.99961939 0.99961939]
 [0.99961939 0.73432212 0.71871355]
 [0.99961939 0.7306082  0.7670338 ]]","[[1 1 1]
 [2 2 2]
 [1 2 2]]",[0.04997234 0.51199355 0.43803411],0.023812055587768555,0.27266420693478594,0.3333333333333333,0.10273146715613123
random,250,3,3,3,-720.3963125647581,"[[0.94456646 0.6650016  0.91800342]
 [0.67537152 0.66520678 0.96144059]
 [0.93074743 0.53095799 0.73079851]]","[[1 2 1]
 [2 2 3]
 [3 1 2]]",[0.42106073 0.46334494 0.11559433],0.06499886512756348,0.15673698734401578,0.2222222222222222,0.05806336187618888
kmeans,250,3,3,3,-721.2201600399196,"[[0.78716286 0.54001048 0.67563319]
 [0.95219724 0.66967576 0.9186364 ]
 [0.68457863 0.66716929 0.99961939]]","[[3 2 2]
 [1 2 1]
 [2 2 3]]",[0.17168388 0.41176047 0.41655565],0.06949520111083984,0.1092954597793905,0.5555555555555556,0.08387793707846479
random,250,3,5,2,-767.2800441026038,"[[0.72214498 0.56490269 0.51878814 0.73977647 0.54604151]
 [0.63601068 0.86674279 0.90476608 0.57365783 0.69145182]
 [0.99961939 0.56537845 0.89890733 0.75168428 0.85167349]]","[[2 2 2 1 1]
 [2 2 2 2 2]
 [2 1 1 2 1]]",[0.24248958 0.43002485 0.32748557],0.15043020248413086,0.03057594401992899,0.1,0.049324871400799074
kmeans,250,3,5,2,-766.459186680665,"[[0.99961939 0.57067837 0.88959517 0.70808454 0.85342182]
 [0.63945253 0.73574142 0.78249073 0.65399254 0.54953334]
 [0.68613666 0.9668509  0.86427477 0.99961939 0.9915017 ]]","[[2 1 1 2 1]
 [2 2 2 1 2]
 [2 2 2 2 2]]",[0.36344141 0.51678235 0.11977623],0.0925741195678711,0.10222211765879499,0.2,0.08216436896818857
random,250,3,5,3,-1139.146856300416,"[[0.76679592 0.9106068  0.61504797 0.57269441 0.50416292]
 [0.91965929 0.93103289 0.93074743 0.98303165 0.91937384]
 [0.69979066 0.75938128 0.63282903 0.55760123 0.52626133]]","[[1 2 3 3 3]
 [3 1 3 1 1]
 [1 2 1 2 2]]",[0.28558057 0.30409783 0.4103216 ],0.10159516334533691,0.08663517101019055,0.2,0.019917771202998744
kmeans,250,3,5,3,-1134.6978928550006,"[[0.66617019 0.77102128 0.67527637 0.62463031 0.53595015]
 [0.81769313 0.89301606 0.65399254 0.66237302 0.50373473]
 [0.91559487 0.92129473 0.92497445 0.98274619 0.91559487]]","[[1 2 1 3 2]
 [1 2 3 2 3]
 [3 1 3 1 1]]",[0.3886762  0.29900603 0.31231777],0.10041069984436035,0.04539691794113774,0.26666666666666666,0.05237394053791934
random,250,5,3,2,-475.43647209118456,"[[0.92810556 0.68055398 0.62166478]
 [0.80448376 0.70122985 0.53357728]
 [0.82351044 0.86054747 0.74973105]
 [0.55234331 0.94829005 0.74674119]
 [0.77798599 0.5427134  0.7981368 ]]","[[2 2 2]
 [1 2 2]
 [1 2 1]
 [1 2 2]
 [2 2 2]]",[0.15568205 0.20562682 0.18832073 0.25508259 0.19528781],0.06022500991821289,0.05471614859029195,0.6666666666666666,0.14795228506335287
kmeans,250,5,3,2,-475.21630026594573,"[[0.99961939 0.99961939 0.99961939]
 [0.99961939 0.99961939 0.99961939]
 [0.99961939 0.87397809 0.99961939]
 [0.64230375 0.99961939 0.7555781 ]
 [0.99961939 0.99961939 0.99961939]]","[[2 2 2]
 [2 2 1]
 [1 2 1]
 [2 1 2]
 [1 2 2]]",[0.22408352 0.12397543 0.22429943 0.21157014 0.21607148],0.06319713592529297,0.07478965939241537,0.6666666666666666,0.18450987255868148
random,250,5,3,3,-723.3870346402641,"[[0.89770306 0.7575942  0.89827397]
 [0.68969893 0.83554648 0.75235035]
 [0.76406828 0.96800462 0.98303165]
 [0.80165446 0.96800462 0.71479966]
 [0.5598492  0.94925346 0.54136938]]","[[1 1 3]
 [3 3 3]
 [1 3 1]
 [1 2 1]
 [1 2 3]]",[0.18937198 0.20440718 0.22207482 0.20458861 0.1795574 ],0.11637616157531738,0.1464948314839919,0.4444444444444444,0.10302198288481454
kmeans,250,5,3,3,-731.4885429444266,"[[0.80681165 0.91637393 0.9981921 ]
 [0.93074743 0.63066133 0.76558273]
 [0.70165803 0.99961939 0.56062826]
 [0.62904597 0.97904416 0.6514487 ]
 [0.83717893 0.57666693 0.88259403]]","[[1 3 1]
 [1 2 3]
 [2 3 3]
 [1 2 1]
 [3 2 3]]",[0.19477908 0.27957037 0.14511995 0.2746164  0.1059142 ],0.14878392219543457,0.19198556947495793,0.4444444444444444,0.17697949464178978
random,250,5,5,2,-817.6200506427747,"[[0.61481009 0.88455655 0.6281896  0.72374459 0.64796978]
 [0.90034651 0.81018361 0.81676539 0.63186561 0.88736652]
 [0.63781709 0.91559487 0.54194029 0.79796136 0.74892821]
 [0.97880628 0.52834873 0.98140216 0.61992528 0.76558273]
 [0.78659195 0.90988127 0.78249073 0.80500115 0.55151965]]","[[1 2 2 1 1]
 [1 1 1 1 2]
 [1 2 2 2 2]
 [2 2 2 2 2]
 [2 1 1 2 1]]",[0.18137311 0.23445196 0.18799591 0.2447063  0.15147272],0.10251426696777344,0.06747374038688582,0.4,0.08431849253908086
kmeans,250,5,5,2,-818.3968864143588,"[[0.99961939 0.81420826 0.79542718 0.56224437 0.86138006]
 [0.99961939 0.99961939 0.78959222 0.99961939 0.73713302]
 [0.99961939 0.6880635  0.77994243 0.99961939 0.61029644]
 [0.99961939 0.90790388 0.5411642  0.54991395 0.5084983 ]
 [0.99961939 0.99961939 0.53124345 0.83814235 0.60717425]]","[[1 1 1 1 2]
 [2 2 2 2 2]
 [2 2 2 1 2]
 [1 2 2 2 2]
 [2 1 2 2 2]]",[0.24901147 0.15202319 0.1627637  0.23096473 0.20523691],0.07499909400939941,0.07893957234766988,0.4,0.14706117622989265
random,250,5,5,3,-1242.146518484806,"[[0.71708109 0.82172373 0.73339439 0.85840394 0.87077785]
 [0.71321775 0.58992843 0.70320723 0.69825038 0.58207724]
 [0.96070316 0.58751988 0.8096127  0.57870527 0.97706009]
 [0.80448376 0.75206489 0.61461979 0.81482676 0.79853227]
 [0.89142091 0.63861994 0.74080903 0.6316753  0.73143187]]","[[1 2 1 2 2]
 [2 3 3 3 1]
 [3 1 3 1 1]
 [1 3 2 3 3]
 [1 2 2 1 2]]",[0.0798083  0.15662527 0.31012333 0.28349205 0.16995105],0.27355003356933594,0.12129172245110889,0.3333333333333333,0.06050658415486313
kmeans,250,5,5,3,-1244.0129012820112,"[[0.72112209 0.81963632 0.74539121 0.7740788  0.72243044]
 [0.70069461 0.72098531 0.87378779 0.55543354 0.94901558]
 [0.77167322 0.85028188 0.58571347 0.77798599 0.75984292]
 [0.94925346 0.63536841 0.79579367 0.55387765 0.97243033]
 [0.77912634 0.7434049  0.59271461 0.63715103 0.81179972]]","[[1 1 2 3 3]
 [3 3 3 1 1]
 [1 3 2 3 3]
 [3 1 3 1 1]
 [1 2 2 2 2]]",[0.09524927 0.09186699 0.29141334 0.27646302 0.24500737],0.33707499504089355,0.1546790296775582,0.26666666666666666,0.048470634340071386
random,50,3,3,2,-89.23448913888086,"[[0.78833145 0.80854818 0.92767737]
 [0.89090351 0.6477319  0.54991395]
 [0.74033326 0.79442808 0.7028623 ]]","[[1 2 2]
 [2 2 1]
 [2 2 2]]",[0.38025167 0.27079226 0.34895607],0.034346818923950195,0.05705156298538791,0.16666666666666666,0.09212475379199879
kmeans,50,3,3,2,-87.87970449451143,"[[0.58324546 0.99961939 0.58324546]
 [0.99961939 0.99961939 0.93756533]
 [0.99961939 0.99961939 0.63631844]]","[[2 1 2]
 [1 2 2]
 [2 2 2]]",[0.24 0.32 0.44],0.006742954254150391,0.14597909736419826,0.16666666666666666,0.1545584306243007
random,50,3,3,3,-151.6359868145729,"[[0.79346466 0.51438288 0.81463645]
 [0.67565698 0.85434956 0.87967924]
 [0.78491488 0.75261202 0.78520034]]","[[1 3 1]
 [2 1 3]
 [2 2 3]]",[0.47670544 0.10285732 0.42043724],0.03265786170959473,0.14054386816061373,0.3333333333333333,0.058617116791303846
kmeans,50,3,3,3,-150.19428221117826,"[[0.67499091 0.76756903 0.9668509 ]
 [0.86349125 0.71479966 0.57293229]
 [0.81420826 0.74015708 0.80564343]]","[[1 3 1]
 [1 1 1]
 [2 2 3]]",[0.21276021 0.3457628  0.44147699],0.04847311973571777,0.08191123708327691,0.4444444444444444,0.08393207137320818
random,50,3,5,2,-139.73468426343555,"[[0.72673    0.69183243 0.9915017  0.70224381 0.98772831]
 [0.51980211 0.99904848 0.68476894 0.53269452 0.69276016]
 [0.99747846 0.50550695 0.99961939 0.7555781  0.82826062]]","[[2 2 2 1 2]
 [2 2 2 1 1]
 [2 1 1 2 1]]",[0.26002865 0.2659303  0.47404105],0.04754805564880371,0.039483808416785796,0.1,0.0515006038003523
kmeans,50,3,5,2,-139.37983707807112,"[[0.94982438 0.53502241 0.99961939 0.74220063 0.86111839]
 [0.90596738 0.64657818 0.91559487 0.79408315 0.54407899]
 [0.96781432 0.94081686 0.89090351 0.53386274 0.86607672]]","[[2 2 1 2 1]
 [1 2 2 1 1]
 [2 2 2 1 2]]",[0.51125451 0.18137941 0.30736607],0.04027700424194336,0.09606841362409771,0.3,0.07444084099361134
random,50,3,5,3,-202.91830559663074,"[[0.81992178 0.99549215 0.60397401 0.61234802 0.68704061]
 [0.85811848 0.91248012 0.96604211 0.99961939 0.96511437]
 [0.60012925 0.99023796 0.70870303 0.70007612 0.66986606]]","[[1 2 2 3 3]
 [3 1 3 1 1]
 [2 3 3 3 2]]",[0.38791874 0.38960081 0.22248045],0.0649106502532959,0.04569990218625861,0.13333333333333333,0.022510394573523402
kmeans,50,3,5,3,-205.15737808186873,"[[0.61067705 0.82903968 0.63325721 0.77306483 0.59716373]
 [0.90398999 0.97786888 0.59271461 0.63354267 0.77589859]
 [0.83878665 0.89132575 0.96800462 0.99961939 0.96317118]]","[[2 3 3 3 2]
 [1 2 2 2 3]
 [3 1 3 1 1]]",[0.28183045 0.31568955 0.40248   ],0.13195204734802246,0.08813521652187947,0.3333333333333333,0.05652653712400233
random,50,5,3,2,-90.33311583389627,"[[0.75379547 0.76286698 0.73790911]
 [0.68768289 0.7971377  0.5290148 ]
 [0.96704121 0.69064897 0.50576862]
 [0.54858981 0.99072859 0.88184694]
 [0.89673964 0.71244166 0.66419281]]","[[1 2 1]
 [1 2 1]
 [2 2 2]
 [1 2 2]
 [2 2 2]]",[0.13982015 0.15899274 0.17899402 0.32672866 0.19546443],0.01560211181640625,0.10259793828586505,0.6666666666666666,0.17292541366392503
kmeans,50,5,3,2,-89.99212985712974,"[[0.99961939 0.99961939 0.99961939]
 [0.99961939 0.81811537 0.99961939]
 [0.99961939 0.75008788 0.99961939]
 [0.99961939 0.99961939 0.99961939]
 [0.99961939 0.92304761 0.99961939]]","[[2 2 2]
 [2 2 1]
 [1 2 1]
 [2 1 2]
 [1 2 2]]",[0.28 0.22 0.16 0.08 0.26],0.019566059112548828,0.127968078101153,0.6666666666666666,0.21052588208612208
random,50,5,3,3,-138.07081708149906,"[[0.76660561 0.6299358  0.88259403]
 [0.58164905 0.87929863 0.65684377]
 [0.98744285 0.86398932 0.93775563]
 [0.75721359 0.85617529 0.78798652]
 [0.8159566  0.88127602 0.72808889]]","[[1 1 3]
 [2 3 3]
 [1 3 1]
 [2 2 3]
 [1 3 1]]",[0.20761127 0.16481541 0.2614886  0.2003136  0.16577112],0.11492681503295898,0.15279396304136747,0.4444444444444444,0.10653553777630989
kmeans,50,5,3,3,-133.62607971744927,"[[0.65038418 0.96279057 0.702672  ]
 [0.65277935 0.99961939 0.70495343]
 [0.8683247  0.66092789 0.99961939]
 [0.96982107 0.87494151 0.85733942]
 [0.938444   0.99961939 0.99961939]]","[[2 2 3]
 [3 3 2]
 [2 3 3]
 [1 3 1]
 [1 1 3]]",[0.2148118  0.15027111 0.11989968 0.41262812 0.10238928],0.07524418830871582,0.21468393756128998,0.7777777777777778,0.12071742581785846
random,50,5,5,2,-163.6136478943832,"[[0.86004532 0.78147676 0.50903353 0.74539121 0.75841786]
 [0.6903873  0.89403002 0.66095168 0.72880254 0.83736924]
 [0.52872934 0.92497445 0.68124235 0.82616876 0.70934531]
 [0.85914137 0.55055623 0.80462054 0.60920813 0.68579174]
 [0.80635707 0.78491488 0.50354443 0.81638478 0.97470209]]","[[2 2 2 2 2]
 [1 1 1 1 2]
 [1 1 2 2 1]
 [2 2 2 2 1]
 [1 2 2 1 2]]",[0.18381062 0.22099784 0.21477305 0.1781404  0.2022781 ],0.09983325004577637,0.05662787986931743,0.4,0.09026009353706675
kmeans,50,5,5,2,-161.789075385286,"[[0.99961939 0.99961939 0.84049791 0.77287452 0.52529791]
 [0.88572514 0.6477319  0.99795422 0.83249193 0.99776392]
 [0.99961939 0.51959694 0.53865456 0.64796978 0.57695239]
 [0.99961939 0.99674103 0.99961939 0.84339411 0.99961939]
 [0.68268748 0.99961939 0.80752529 0.73224066 0.84990127]]","[[1 1 2 2 1]
 [1 1 1 1 2]
 [2 1 2 2 1]
 [2 1 2 2 2]
 [1 2 2 1 2]]",[0.18995354 0.18930774 0.40382527 0.03771704 0.17919641],0.12689208984375,0.1347059378090128,0.3,0.1351776875664508
random,50,5,5,3,-229.97621892199828,"[[0.68768289 0.72374459 0.99923878 0.65615131 0.82094467]
 [0.99961939 0.84897354 0.91103499 0.58649699 0.99961939]
 [0.85942683 0.53338698 0.78435809 0.69445172 0.71244166]
 [0.5304406  0.96250511 0.6299358  0.96757644 0.81179972]
 [0.97470209 0.73367984 0.57269441 0.85648305 0.77110231]]","[[1 2 1 2 1]
 [3 1 3 1 1]
 [1 2 2 3 3]
 [1 3 3 3 3]
 [1 2 2 3 2]]",[0.16648118 0.19614432 0.16982831 0.18198899 0.28555721],0.2078230381011963,0.16160211127899915,0.2,0.08242548770290918
kmeans,50,5,5,3,,"[[1.         0.         1.         0.2        0.8       ]
 [0.85714286 0.28571429 0.28571429 0.71428571 0.57142857]
 [1.         0.75       0.125      0.75       1.        ]
 [0.78571429 0.35714286 0.78571429 0.28571429 0.28571429]
 [0.75       0.25       0.4375     0.125      0.1875    ]]","[[3 2 3 2 1]
 [1 1 2 1 1]
 [3 1 2 1 1]
 [1 1 1 2 1]
 [1 2 2 2 2]]",[0.1  0.14 0.16 0.28 0.32],0.013381004333496094,0.18799116150588574,0.4,0.1397436499968838
